04-Oct,40.18
04-Nov,40
04-Dec,37.88
05-Jan,38.44
05-Feb,41.28
05-Mar,44.75
05-Apr,48.94
05-May,49.21
05-Jun,49.79
05-Jul,53.44
05-Aug,56.43
05-Sep,58.29
05-Oct,56.85
05-Nov,53.65
05-Dec,54.03
06-Jan,58.36
06-Feb,59.94
06-Mar,60.04
06-Apr,62.82
06-May,66.63
06-Jun,66.83
06-Jul,68.73
06-Aug,69.86
06-Sep,65.2
06-Oct,60.22
06-Nov,57.64
06-Dec,58.01
07-Jan,56.36
07-Feb,54.86
07-Mar,58.58
07-Apr,63.48
07-May,65.87
07-Jun,68.4
07-Jul,70.8
07-Aug,70.51
07-Sep,72.54
07-Oct,77.47
07-Nov,84.3
07-Dec,88.49
08-Jan,89.14
08-Feb,93.04
08-Mar,95.18
08-Apr,102
08-May,112
08-Jun,125
08-Jul,131
08-Aug,127
08-Sep,110
08-Oct,89.18
08-Nov,64.22
08-Dec,47.38
09-Jan,43.36
09-Feb,43.81
09-Mar,45.3
09-Apr,49.69
09-May,55.41
09-Jun,64.44
09-Jul,68.71
09-Aug,69.41
09-Sep,70.91
09-Oct,71.27
09-Nov,75.76
09-Dec,77.87
10-Jan,77.23
10-Feb,76.84
10-Mar,77.37
10-Apr,80.88
10-May,82.34
10-Jun,77.3
10-Jul,75.36
10-Aug,74.54
10-Sep,75.34
10-Oct,77.7
10-Nov,82.32
10-Dec,86.46
11-Jan,91.37
11-Feb,97.31
11-Mar,105
11-Apr,114
11-May,116
11-Jun,112
11-Jul,111
11-Aug,111
11-Sep,109
11-Oct,109
11-Nov,109
11-Dec,112
12-Jan,112
12-Feb,117
12-Mar,122
12-Apr,124
12-May,118
12-Jun,106
12-Jul,102
12-Aug,107
12-Sep,112
12-Oct,113
12-Nov,111
12-Dec,110
13-Jan,111
13-Feb,113
13-Mar,112
13-Apr,106
13-May,104
13-Jun,103
13-Jul,104
13-Aug,107
13-Sep,110
13-Oct,111
13-Nov,110
13-Dec,109
14-Jan,110
14-Feb,108
14-Mar,108
14-Apr,108
14-May,108
14-Jun,109
14-Jul,109
14-Aug,108
14-Sep,102
14-Oct,93.72
14-Nov,83.01
14-Dec,70.85
15-Jan,54.43
15-Feb,49.57
15-Mar,55.91
15-Apr,57.31
15-May,61.94
15-Jun,63.39
15-Jul,60.92
15-Aug,54.66
15-Sep,49.04
15-Oct,46.81
15-Nov,45.39
15-Dec,40.17
16-Jan,33.48
16-Feb,29.26
16-Mar,32.13
16-Apr,36.65
16-May,41.15
16-Jun,44.97
16-Jul,46
16-Aug,43.81
16-Sep,43.79
16-Oct,45.65
16-Nov,47.53
16-Dec,48.02
17-Jan,52.46
17-Feb,55.1
17-Mar,54.22
17-Apr,52.66
17-May,52.38
17-Jun,49.96
17-Jul,47.48
17-Aug,48.83
17-Sep,51.87
17-Oct,54.74
17-Nov,57.92
17-Dec,62.15
18-Jan,64.86
18-Feb,66.89
18-Mar,64.87
18-Apr,66.24
18-May,71.23
18-Jun,74.27
18-Jul,75.04
18-Aug,75.18
18-Sep,76.44
18-Oct,79.49
